4195,0,0,,,,,,,
54,-1,-1,,,,,,,
2,2,3,,,,,,,
1,3,2,,,,,,,
4195,0,0,,,,,,,
55,1,1,-1,,,,,,
3,1,2,20,,,,,,
-1,2,20,1,,,,,,
4195,0,0,0,,,,,,
56,-1,-1,,,,,,,
2,1,20,,,,,,,
1,20,1,,,,,,,
4195,0,0,,,,,,,
57,-1,1,1,,,,,,
3,1,2,20,,,,,,
-1,20,1,2,,,,,,
4195,0,0,0,,,,,,
58,1,1,,,,,,,
2,2,20,,,,,,,
1,20,2,,,,,,,
4195,0,0,,,,,,,
59,1,1,,,,,,,
2,1,2,,,,,,,
1,2,1,,,,,,,
4195,0,0,,,,,,,
