1,-1,1,1,,,,,,
3,11,13,18,,,,,,
-1,18,11,13,,,,,,
5000,0,0,0,,,,,,
2,1,1,,,,,,,
2,13,18,,,,,,,
1,18,13,,,,,,,
5000,0,0,,,,,,,
3,1,1,-1,,,,,,
3,11,13,18,,,,,,
-1,13,18,11,,,,,,
5000,0,0,0,,,,,,
4,-1,-1,,,,,,,
2,11,18,,,,,,,
1,18,11,,,,,,,
5000,0,0,,,,,,,
5,1,1,,,,,,,
2,11,13,,,,,,,
1,13,11,,,,,,,
5000,0,0,,,,,,,
6,1,1,1,1,,,,,
4,8,9,11,12,,,,,
1,9,11,12,8,,,,,
5000,0,0,0,0,,,,,
7,1,1,,,,,,,
2,8,12,,,,,,,
1,12,8,,,,,,,
805,0,0,,,,,,,
8,1,1,,,,,,,
2,9,11,,,,,,,
1,11,9,,,,,,,
805,0,0,,,,,,,
9,-1,1,1,,,,,,
3,9,10,17,,,,,,
-1,17,9,10,,,,,,
805,0,0,0,,,,,,
10,1,1,,,,,,,
2,10,17,,,,,,,
1,17,10,,,,,,,
805,0,0,,,,,,,
11,1,1,-1,,,,,,
3,9,10,17,,,,,,
-1,10,17,9,,,,,,
805,0,0,0,,,,,,
12,-1,-1,,,,,,,
2,9,17,,,,,,,
1,17,9,,,,,,,
805,0,0,,,,,,,
13,1,1,,,,,,,
2,9,10,,,,,,,
1,10,9,,,,,,,
805,0,0,,,,,,,
14,1,1,1,1,1,,,,
5,6,8,9,11,12,,,,
1,9,6,11,12,8,,,,
4195,0,0,0,0,0,,,,
15,1,1,-1,1,1,1,,,
6,5,6,8,9,11,12,,,
-1,6,9,5,11,12,8,,,
4195,0,0,0,0,0,0,,,
16,1,1,,,,,,,
2,8,12,,,,,,,
1,12,8,,,,,,,
4195,0,0,,,,,,,
17,1,1,,,,,,,
2,9,11,,,,,,,
1,11,9,,,,,,,
4195,0,0,,,,,,,
18,1,1,-1,,,,,,
3,5,7,16,,,,,,
-1,7,16,5,,,,,,
4195,0,0,0,,,,,,
19,1,1,,,,,,,
2,7,16,,,,,,,
1,16,7,,,,,,,
4195,0,0,,,,,,,
20,-1,1,1,,,,,,
3,5,7,16,,,,,,
-1,16,5,7,,,,,,
4195,0,0,0,,,,,,
21,-1,1,1,-1,1,-1,,,
6,5,7,8,9,16,17,,,
-1,8,5,9,17,7,16,,,
4195,0,0,0,0,0,0,,,
22,-1,1,1,1,1,1,-1,,
7,5,7,8,9,10,16,17,,
1,8,5,9,10,17,7,16,,
4195,0,0,0,0,0,0,0,,
23,-1,1,1,1,-1,1,-1,,
7,5,6,7,8,9,16,17,,
-1,8,9,5,6,17,7,16,,
4195,0,0,0,0,0,0,0,,
24,-1,1,1,1,1,1,1,-1
8,5,6,7,8,9,10,16,17
1,8,9,5,6,10,17,7,16
4195,0,0,0,0,0,0,0,0
25,1,1,1,-1,1,-1,,,
6,5,6,7,9,16,17,,,
1,6,9,5,17,7,16,,,
4195,0,0,0,0,0,0,,,
26,1,1,1,1,1,1,-1,,
7,5,6,7,9,10,16,17,,
-1,6,9,5,10,17,7,16,,
4195,0,0,0,0,0,0,0,,
27,1,1,1,1,-1,1,-1,,
7,5,6,7,8,9,16,17,,
1,6,8,5,9,17,7,16,,
4195,0,0,0,0,0,0,0,,
28,1,1,1,1,1,1,1,-1
8,5,6,7,8,9,10,16,17
-1,6,8,5,9,10,17,7,16
4195,0,0,0,0,0,0,0,0
29,1,1,,,,,,,
2,5,7,,,,,,,
1,7,5,,,,,,,
4195,0,0,,,,,,,
30,-1,1,-1,-1,-1,,,,
5,5,8,9,16,17,,,,
1,8,9,17,5,16,,,,
4195,0,0,0,0,0,,,,
31,-1,1,1,1,-1,-1,,,
6,5,8,9,10,16,17,,,
-1,8,9,10,17,5,16,,,
4195,0,0,0,0,0,0,,,
32,-1,1,1,-1,-1,-1,,,
6,5,6,8,9,16,17,,,
1,8,9,6,17,5,16,,,
4195,0,0,0,0,0,0,,,
33,-1,1,1,1,1,-1,-1,,
7,5,6,8,9,10,16,17,,
-1,8,9,6,10,17,5,16,,
4195,0,0,0,0,0,0,0,,
34,1,1,-1,-1,-1,,,,
5,5,6,9,16,17,,,,
-1,6,9,17,5,16,,,,
4195,0,0,0,0,0,,,,
35,1,1,1,1,-1,-1,,,
6,5,6,9,10,16,17,,,
1,6,9,10,17,5,16,,,
4195,0,0,0,0,0,0,,,
36,1,1,1,-1,-1,-1,,,
6,5,6,8,9,16,17,,,
-1,6,8,9,17,5,16,,,
4195,0,0,0,0,0,0,,,
37,1,1,1,1,1,-1,-1,,
7,5,6,8,9,10,16,17,,
1,6,8,9,10,17,5,16,,
4195,0,0,0,0,0,0,0,,
38,-1,-1,,,,,,,
2,5,16,,,,,,,
1,16,5,,,,,,,
4195,0,0,,,,,,,
39,-1,1,1,,,,,,
3,9,10,17,,,,,,
-1,17,9,10,,,,,,
4195,0,0,0,,,,,,
40,1,1,,,,,,,
2,10,17,,,,,,,
1,17,10,,,,,,,
4195,0,0,,,,,,,
41,1,1,-1,,,,,,
3,9,10,17,,,,,,
-1,10,17,9,,,,,,
4195,0,0,0,,,,,,
42,-1,-1,,,,,,,
2,9,17,,,,,,,
1,17,9,,,,,,,
4195,0,0,,,,,,,
43,1,1,,,,,,,
2,9,10,,,,,,,
1,10,9,,,,,,,
4195,0,0,,,,,,,
44,-1,1,1,,,,,,
3,5,6,8,,,,,,
-1,8,5,6,,,,,,
4195,0,0,0,,,,,,
45,1,1,,,,,,,
2,6,8,,,,,,,
1,8,6,,,,,,,
4195,0,0,,,,,,,
46,1,1,-1,,,,,,
3,5,6,8,,,,,,
-1,6,8,5,,,,,,
4195,0,0,0,,,,,,
47,-1,-1,,,,,,,
2,5,8,,,,,,,
1,8,5,,,,,,,
4195,0,0,,,,,,,
48,1,1,,,,,,,
2,5,6,,,,,,,
1,6,5,,,,,,,
4195,0,0,,,,,,,
49,1,1,,,,,,,
2,4,5,,,,,,,
1,5,4,,,,,,,
4195,0,0,,,,,,,
50,1,-1,1,,,,,,
3,2,3,4,,,,,,
-1,4,2,3,,,,,,
4195,0,0,0,,,,,,
51,1,1,,,,,,,
2,3,4,,,,,,,
1,4,3,,,,,,,
4195,0,0,,,,,,,
52,-1,1,1,,,,,,
3,2,3,4,,,,,,
-1,3,4,2,,,,,,
4195,0,0,0,,,,,,
53,1,1,,,,,,,
2,2,4,,,,,,,
1,4,2,,,,,,,
