TIMEPOINT ,NUMBER OF ACTIVE NODES ,NUMBER OF CYCLES IN THE NUCLEUS,THIS COLUMN  AND THE FOLLOWING CONTAIN THE CYCLES
1,10,5,1,7,9,53,55
1,10,6,1,7,10,53,55,61
1,10,5,1,7,11,53,55
1,10,6,1,7,12,53,55,62
1,10,6,1,7,13,53,55,69
1,10,7,1,7,53,55,61,62,69
1,10,6,1,9,53,55,60,64
1,10,7,1,10,53,55,60,61,64
1,10,6,1,11,53,55,60,64
1,10,7,1,12,53,55,60,62,64
1,10,7,1,13,53,55,60,64,69
1,10,8,1,53,55,60,61,62,64,69
1,10,5,2,6,10,53,55
1,10,6,2,6,53,55,62,69
1,10,6,2,7,8,10,53,55
1,10,7,2,7,8,53,55,62,69
1,10,6,2,7,9,53,55,63
1,10,7,2,7,10,53,55,61,63
1,10,6,2,7,11,53,55,63
1,10,7,2,7,12,53,55,62,63
1,10,7,2,7,13,53,55,63,69
1,10,8,2,7,53,55,61,62,63,69
1,10,7,2,8,10,53,55,60,64
1,10,8,2,8,53,55,60,62,64,69
1,10,7,2,9,53,55,60,63,64
1,10,8,2,10,53,55,60,61,63,64
1,10,7,2,11,53,55,60,63,64
1,10,8,2,12,53,55,60,62,63,64
1,10,8,2,13,53,55,60,63,64,69
1,10,9,2,53,55,60,61,62,63,64,69
1,10,5,3,7,9,53,55
1,10,6,3,7,10,53,55,61
1,10,5,3,7,11,53,55
1,10,6,3,7,12,53,55,62
1,10,6,3,7,13,53,55,69
1,10,7,3,7,53,55,61,62,69
1,10,6,3,9,53,55,60,64
1,10,7,3,10,53,55,60,61,64
1,10,6,3,11,53,55,60,64
1,10,7,3,12,53,55,60,62,64
1,10,7,3,13,53,55,60,64,69
1,10,8,3,53,55,60,61,62,64,69
1,10,6,4,7,9,53,55,65
1,10,7,4,7,10,53,55,61,65
1,10,6,4,7,11,53,55,65
1,10,7,4,7,12,53,55,62,65
1,10,7,4,7,13,53,55,65,69
1,10,8,4,7,53,55,61,62,65,69
1,10,7,4,9,53,55,60,64,65
1,10,8,4,10,53,55,60,61,64,65
1,10,7,4,11,53,55,60,64,65
1,10,8,4,12,53,55,60,62,64,65
1,10,8,4,13,53,55,60,64,65,69
1,10,9,4,53,55,60,61,62,64,65,69
1,10,6,5,7,9,53,55,70
1,10,7,5,7,10,53,55,61,70
1,10,6,5,7,11,53,55,70
1,10,7,5,7,12,53,55,62,70
1,10,7,5,7,13,53,55,69,70
1,10,8,5,7,53,55,61,62,69,70
1,10,7,5,9,53,55,60,64,70
1,10,8,5,10,53,55,60,61,64,70
1,10,7,5,11,53,55,60,64,70
